,Accuracy,Accuracy Depth,Accuracy Criterion,Precision,Precision Depth,Precision Criterion,F1_micro,F1_micro Depth,F1_micro Criterion
0,0.8681606748659729,9,entropy,0.6423432682425488,6,entropy,0.3128777789160947,10,entropy
1,0.8670766319772942,8,gini,0.6105442176870748,5,gini,0.28999790312434476,10,entropy
2,0.8676285083569851,9,entropy,0.5983870967741935,5,gini,0.2975189452922246,10,entropy
3,0.8685548722800378,8,gini,0.6370731707317073,5,gini,0.30821424899763544,10,entropy
4,0.8683971933144119,8,gini,0.6174957118353345,5,gini,0.2934988428361035,10,entropy
5,0.8680227057710501,8,entropy,0.6237541528239202,5,gini,0.3203559510567297,10,entropy
6,0.86729344055503,8,gini,0.6304,5,gini,0.29667942484741905,10,entropy
7,0.868889940081993,8,entropy,0.6244384546271339,6,entropy,0.3051197357555739,10,entropy
8,0.8675496688741722,6,gini,0.6263345195729537,5,gini,0.30317346205196677,10,entropy
9,0.8663276568905708,8,gini,0.6104529616724739,5,gini,0.32707567253725567,10,entropy
