,Accuracy,Accuracy Depth,Accuracy Criterion,Precision,Precision Depth,Precision Criterion,F1_micro,F1_micro Depth,F1_micro Criterion
0,0.7426582923103039,9,entropy,0.6850724637681159,9,entropy,0.6749429223744292,9,entropy
1,0.7416397895094211,9,entropy,0.6899467585342938,7,gini,0.6757232350249877,6,gini
2,0.7422056243988004,9,entropy,0.6781355682987796,10,entropy,0.679054054054054,9,entropy
3,0.744921631867821,8,entropy,0.6845797880280639,9,entropy,0.6791481069042317,6,entropy
4,0.745713800712952,8,entropy,0.685574644549763,6,gini,0.6850774514614144,8,entropy
5,0.7429977932439314,7,entropy,0.6836191602602011,7,entropy,0.6853451207072424,6,gini
6,0.7479771402704691,8,entropy,0.684679505605059,10,entropy,0.684374557302734,8,entropy
7,0.7446387144231313,8,entropy,0.6865742952699474,5,gini,0.6840547794370656,6,gini
8,0.7473547218921519,8,gini,0.6862123613312203,7,gini,0.6867254199944918,6,gini
9,0.7459967181576416,8,entropy,0.6970935513169846,7,gini,0.6932265508348038,6,gini
