Model,Training Time (s),Testing Time (s),Accuracy,Precision,Recall,F1-Score
SVM Linear,7207.852956295013,128.09648895263672,0.8594134342478713,0.0,0.0,0.0
SVM Poly,2981.1590678691864,163.20675778388977,0.8704351939451277,0.6540326134861172,0.16644235082996858,0.2653553866785874
SVM RBF,44011.23866391182,8853.889220237732,0.8711762850835698,0.6938669438669439,0.14973082099596233,0.246309963099631
