,Model,Accuracy,Precision,Recall,F1-Score,Training Time,Testing Time
0,PCA + GaussianNB,0.818215862503942,0.31559509820379383,0.2675775690293197,0.28960948933220365,0.02816486358642578,0.006384134292602539
1,MultinomialNB,0.8478792179123305,0.42346938775510207,0.23321157628547345,0.30077912665337925,0.03073906898498535,0.0030438899993896484
2,BernoulliNB,0.8284058656575213,0.37606232294617564,0.38168487636572745,0.3788527397260274,0.15005278587341309,0.015708208084106445
